SP,41127,5163867.22,125.56,6655,20361
RJ,12698,1811623.42,142.67,2019,5885
MG,11496,1573508.2,136.87,1934,5276
RS,5417,742559.78,137.08,851,2546
PR,4983,676883.06,135.84,837,2449
SC,3600,518578.28,144.05,598,1654
BA,3344,507108.83,151.65,597,1528
DF,2121,300886.45,141.86,380,969
GO,1998,287870.46,144.08,339,932
ES,2018,273532.13,135.55,319,952
PE,1643,261739.94,159.31,331,699
CE,1323,226264.06,171.02,241,592
PA,969,178821.12,184.54,176,437
MT,902,156313.53,173.3,157,395
MA,736,119291.62,162.08,109,336
MS,708,116754.65,164.91,115,320
PB,531,114874.1,216.34,122,232
PI,490,86660.09,176.86,109,211
RN,482,83034.98,172.27,94,210
AL,411,80314.81,195.41,68,185
SE,345,58920.85,170.79,63,152
TO,278,49407.99,177.73,52,126
RO,246,46031.64,187.12,47,115
AM,147,22356.84,152.09,24,74
AC,81,15982.95,197.32,12,42
AP,68,13474.3,198.15,10,26
RR,45,7739.44,171.99,15,20
